Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Exchange
NVDA,NVIDIA Corporation,210.7,USD,1.9647696476964782,50793882,0.3891728204426604,5098939984938.784,USD,32.267450764188794,6.5298,USD,110.33338701884364,0.13550135501355,Electronic technology,NASDAQ
GOOGL,Alphabet Inc.,376.135,USD,0.7027924285829028,14629864,0.4010956147825239,4594342645642.429,USD,18.896223618835183,19.9053,USD,112.01789423230548,0.227570881636368,Technology services,NASDAQ
GOOG,Alphabet Inc.,373.55,USD,0.2899562380862845,8108318,0.32865786539640524,4575507905612.67,USD,18.766358708484674,19.9053,USD,112.01789423230548,0.228206298493838,Technology services,NASDAQ
AAPL,Apple Inc.,306.13,USD,0.893151407290218,24894864,0.4092333516782266,4467716425451.404,USD,35.093370628087996,8.7233,USD,32.60922440789274,0.346054973304331,Electronic technology,NASDAQ
MSFT,Microsoft Corporation,497.4451,USD,2.0086332410540444,23407531,0.5139122418689135,3693801132877.675,USD,27.71992265427352,17.9454,USD,31.54908515130189,0.730031785091767,Technology services,NASDAQ
AMZN,"Amazon.com, Inc.",278.01,USD,-2.1160481656221366,33121481,0.5608840051112002,2998703165119.269,USD,22.361372520631242,12.4326,USD,89.7295812477109,0,Retail trade,NASDAQ
AVGO,Broadcom Inc.,416.17,USD,6.103561685745608,10817142,0.5775176951698954,1979962156571.5242,USD,69.280839021142,6.007,USD,125.81008946695735,0.647579226474263,Electronic technology,NASDAQ
SPCX,Space Exploration Technologies Corp,119.95,USD,4.7323845280712495,42393726,0.6143290530234681,1591391795036.9766,USD,,,,,0,Communications,NASDAQ
META,"Meta Platforms, Inc.",583.89,USD,-1.0758335592301473,7033858,0.3798049659427292,1487463331952.9414,USD,21.9939957133763,26.5477,USD,-3.857269092594742,0.355787476280835,Technology services,NASDAQ
TSLA,"Tesla, Inc.",325.48,USD,1.0556383507203286,14670697,0.30637718326261537,1285498701670.393,USD,302.40639226981324,1.0763,USD,-37.67083622886263,0,Consumer durables,NASDAQ
LLY,Eli Lilly and Company,1128.195,USD,0.6095277163444421,1179467,0.5233867920191287,1062467918173.1992,USD,40.61030920413232,27.781,USD,130.14091274344932,0.576086181065849,Health technology,NYSE
MU,"Micron Technology, Inc.",894.81,USD,7.873417721518981,19772935,0.3949605417980777,1010592209750.9934,USD,20.257357019476093,44.1721,USD,697.287150515315,0.0638939119951778,Electronic technology,NASDAQ
BRK.A,Berkshire Hathaway Inc.,771114.79,USD,0.37289814513505204,74,0.4648241206030151,999041389623.5957,USD,15.303007327580776,50389.755,USD,-10.480948284775364,0,Finance,NYSE
BRK.B,Berkshire Hathaway Inc. New,514.11,USD,0.18903223291889684,1212493,0.29123952690609983,997211317364.6555,USD,15.303990093233153,33.5932,USD,-10.480916050876308,0,Finance,NYSE
JPM,JP Morgan Chase & Co.,361.27,USD,2.4472549909255887,3468845,0.4574142783295492,968027150643.4448,USD,15.476588270573618,23.343,USD,19.772185022704537,1.70145190562613,Finance,NYSE
WMT,Walmart Inc.,110.095,USD,-0.5555053744015851,10196583,0.4453076146117549,876144711441.0131,USD,38.78359812590271,2.8387,USD,21.780351780351772,0.871646644386234,Retail trade,NASDAQ
